version,year,state,cumulative_scrape_rate,state_scrape_rate,cumulative_rows_scraped,state_rows_scraped,time_to_scrape
1.1.1,2022,Wyoming - WY,8.351272608560024,8.765346832477581,368,184,00:00:20
1.1.1,2022,Wyoming - WY,8.685512473058761,8.73029216568657,368,184,00:00:21
1.1.1,2023,Wyoming - WY,8.657742791781232,8.948169039889473,760,184,00:00:20
1.1.1,2022,Wisconsin - WI,8.547257727888415,8.405722339584495,1336,576,00:01:08
1.1.1,2022,Wyoming - WY,8.570706154641696,8.744899012190471,1520,184,00:00:21
1.1.1,2023,Wyoming - WY,8.586341115329985,8.790910033451716,760,184,00:00:20
1.1.1,2022,Wisconsin - WI,8.574452576549806,8.558816594266153,1336,576,00:01:07
1.1.1,2022,Wyoming - WY,7.465573194256305,3.850214180611391,1520,184,00:00:47
1.1.1,2023,Wyoming - WY,8.794283627241379,8.946693735597856,760,184,00:00:20
1.1.1,2022,Wisconsin - WI,8.666965882375028,8.504512410416192,1336,576,00:01:07
1.1.1,2022,Wyoming - WY,8.669042730785149,8.684152359090346,1520,184,00:00:21
1.1.1,2023,Wyoming - WY,8.608950721282207,8.789823711624335,760,184,00:00:20
1.1.1,2022,Wisconsin - WI,7.423706617173898,6.282462402759642,1336,576,00:01:31
1.1.1,2022,Wyoming - WY,7.578173972319811,8.926832237742195,1520,184,00:00:20
1.1.1,2023,Wyoming - WY,8.852716473322474,9.015456798634666,760,184,00:00:20
1.1.1,2022,Wisconsin - WI,8.771416212496538,8.666402658690373,1336,576,00:01:06
1.1.1,2022,Wyoming - WY,8.787550801839483,8.90650621436415,1520,184,00:00:20
1.1.1,2023,Wyoming - WY,8.548766717438053,9.065618122539242,760,184,00:00:20
1.1.1,2022,Wisconsin - WI,8.5905322674286,8.646268106787165,1336,576,00:01:06
1.1.1,2022,Wyoming - WY,8.625665043227022,8.88964154875801,1520,184,00:00:20
1.1.1,2021,Wisconsin - WI,8.51296249129958,8.22922217233277,2096,576,00:01:09
1.1.1,2021,Wyoming - WY,8.546856439837248,8.952905883895854,2280,184,00:00:20
1.1.1,2020,Wisconsin - WI,8.567633678371969,8.65087787399552,2856,576,00:01:06
1.1.1,2020,Wyoming - WY,8.586098605580482,8.883265009691652,3040,184,00:00:20
1.1.1,2019,Wisconsin - WI,8.520090232002616,8.18787064547411,3616,576,00:01:10
1.1.1,2019,Wyoming - WY,8.511677227692424,8.349650810299666,3800,184,00:00:22
1.1.1,2018,Wisconsin - WI,8.450165289424287,8.065623684705205,4376,576,00:01:11
1.1.1,2018,Wyoming - WY,8.445479233091909,8.335544290294322,4560,184,00:00:22
1.1.1,2017,Wisconsin - WI,8.404692472753531,8.095189866038657,5136,576,00:01:11
1.1.1,2017,Wyoming - WY,8.40895032801796,8.529565845799869,5320,184,00:00:21
1.1.1,2016,Wisconsin - WI,8.29046720053319,7.335801260943116,5896,576,00:01:18
1.1.1,2016,Wyoming - WY,8.297134819766502,8.516616630920849,6080,184,00:00:21
1.1.1,2023,Alaska - AK,10.812448542498183,10.815769307849859,776,240,00:00:22
1.1.1,2023,American Samoa - AS,10.798369935782228,9.587462277206244,784,8,00:00:00
